CellType_A,CellType_B,1_A_count,1_B_count,1_A→B,1_B→A,1_Asymmetry,2_A_count,2_B_count,2_A→B,2_B→A,2_Asymmetry,Observed_Diff
Tregs,CD68+ macros,906,1023,10.75268817204301,11.589403973509933,0.8367158014669229,1885,3983,20.537283454682402,36.49867374005305,15.961390285370648,15.124674483903725
Tregs,B cells,906,10269,12.153082091732397,74.94481236203092,62.791730270298515,1885,2774,20.079307858687816,26.419098143236074,6.339790284548258,56.45193998575026
Tregs,smooth muscle,906,10949,10.42104301762718,73.28918322295806,62.868140205330874,1885,16868,20.120939056201088,87.05570291777188,66.93476386157079,4.066623656239912
Tregs,generic immune,906,4799,11.002292144196707,47.019867549668874,36.017575405472165,1885,2278,20.983318700614575,24.82758620689655,3.8442675062819767,32.17330789919019
Tregs,NK cells,906,34,2.941176470588235,0.22075055187637968,2.7204259187118556,1885,289,21.79930795847751,3.819628647214854,17.979679311262657,15.259253392550802
CD4+ T cells,CD68+ macros,1920,1023,19.550342130987293,11.458333333333332,8.09200879765396,639,3983,8.360532262113985,40.062597809076685,31.7020655469627,23.61005674930874
CD4+ T cells,B cells,1920,10269,20.557016262537736,68.48958333333334,47.932567070795606,639,2774,9.120403749098774,32.3943661971831,23.27396244808433,24.658604622711277
CD4+ T cells,smooth muscle,1920,10949,20.47675586811581,75.36458333333333,54.88782746521752,639,16868,7.457908465733934,85.44600938967136,77.98810092393742,23.100273458719904
CD4+ T cells,generic immune,1920,4799,21.27526568035007,44.895833333333336,23.620567652983265,639,2278,7.067603160667252,22.535211267605636,15.467608106938384,8.152959546044881
CD4+ T cells,NK cells,1920,34,23.52941176470588,0.5729166666666666,22.956495098039213,639,289,7.958477508650519,3.599374021909233,4.359103486741287,18.597391611297926
CD68+ macros,B cells,1023,10269,12.63024637257766,71.94525904203324,59.315012669455584,3983,2774,40.80749819754866,28.16972131559126,12.6377768819574,46.677235787498184
CD68+ macros,smooth muscle,1023,10949,12.27509361585533,74.19354838709677,61.91845477124144,3983,16868,38.35665164809106,86.04067285965353,47.68402121156247,14.234433559678976
CD68+ macros,generic immune,1023,4799,13.065221921233592,49.364613880742915,36.29939195950932,3983,2278,40.210711150131694,25.48330404217926,14.727407107952434,21.571984851556888
CD68+ macros,NK cells,1023,34,11.76470588235294,0.39100684261974583,11.373699039733195,3983,289,42.90657439446367,4.117499372332413,38.78907502213126,27.41537598239806
B cells,smooth muscle,10269,10949,69.76892866928488,76.32680884214626,6.557880172861388,2774,16868,27.021579321792743,86.26532083633742,59.24374151454468,52.68586134168329
B cells,generic immune,10269,4799,70.45217753698687,47.32690622261174,23.125271314375127,2774,2278,28.577699736611063,24.7296322999279,3.848067436683163,19.277203877691964
B cells,NK cells,10269,34,58.82352941176471,0.34083162917518744,58.482697782589526,2774,289,28.719723183391004,3.7851478010093724,24.93457538238163,33.548122400207895
smooth muscle,generic immune,10949,4799,73.32777662012919,44.67074618686638,28.657030433262804,16868,2278,87.57682177348552,25.160066397913212,62.41675537557231,33.759724942309504
smooth muscle,NK cells,10949,34,73.52941176470588,0.4749292172801169,73.05448254742576,16868,289,85.12110726643598,3.562959449845862,81.55814781659012,8.503665269164358
generic immune,NK cells,4799,34,41.17647058823529,0.4584288393415295,40.71804174889376,2278,289,25.60553633217993,3.731343283582089,21.874193048597842,18.84384870029592
